Регистровый номер;Строительный номер;IMO;MMSI;Название судна;Проект судна;Назначение судна;Формула класса;Источник данных;Место постройки;Завод постройки;Город постройки;Страна постройки;Порт приписки;Учреждение регистрации;Текущее состояние;Заложено;Дата закладки киля;Дата значительной части;Спущено на воду;Построено;Длина наибольшая теоретическая;Длина расчетная;Длина габаритная;Длина конструктивная;Ширина габаритная;Ширина конструктивная;Валовая вместимость;Чистая вместимость;Дедвейт;Грузоподъемность;Водоизмещение;Осадка;Высота борта;Надводный борт;Скорость;Тип силовой установки;Заводская модель главного двигателя;Запасы топлива;Количество движителей;Тип движителя;Численность экипажа;Спецперсонал;Число пассажиров коечные;Число пассажиров бескоечных;Общее число пассажиров;Количество лопастей;Холодильная установка;Рабочая температура;Хладагенты;Количество охлаждаемых грузовых помещений;Вместимость охлаждаемого грузового помещения;Количество наливных танков;Объём наливного танка;Суммарный объем наливных танков;Количество контейнеров;Тип контейнеров;Количество палуб;Количество переборок продольных;Количество переборок поперечных;Общее количество переборок;Водяной балласт;Подогреватели;Категория якорных цепей;Калибр якорных цепей
227866;2;;;ДуСКИ-1;81521А;Пассажирский плавучий причал;Р 1,2 I;Речной регистр, Fleetphoto;ОАО Тюменский ССРЗ;Экспериментальная судоверфь; Тюмень;;Омск  ;РКО (РРР до 2022); Эксплуатируется ;;;;;01.01.2003;;;38.17;36.95;9.92;9.7;396.2;0;214;214;271;;1.1;0.3;;;;;;;0;;;;0;;;;;;;0;;0;;;;4;6;;;;;
227950;2;;;ДМ-005;Р-70;Пассажирский дебаркадер;Р 1,2 I;Речной регистр, Fleetphoto;Тобольск;Тобольская ремонтно-эксплуатационная база флота ОИРП МРФ РСФСР; Тобольск;;Омск  ;РКО (РРР до 2022); Не эксплуатируется ;;;;;01.01.1987;;;24.1;22.5;12.4;12;1194;0;20;0;131;;2.7;2.15;;;;;;;0;;;;9;;;;;;;0;;0;;;;0;3;;;;;
227951;3;;;ДМ-006;Р-70;Пассажирский дебаркадер;Р 1,2 I;Речной регистр, Fleetphoto;Тобольск;Тобольская ремонтно-эксплуатационная база флота ОИОРП МРФ РСФСР; Тобольск;;Омск  ;РКО (РРР до 2022); Эксплуатируется ;;;;;01.01.1987;;;24.1;22.5;12.4;12;1194;0;20;0;131;;2.7;2.15;;;;;;;1;;;;9;;;;;;;0;;0;;;;0;3;;;;;
227955;01;;;ДП-1;053;Н/с дебаркадер, накопление и пересадка пассажиров;О 2,0 I;Речной регистр, Fleetphoto;Тюмень;Экспериментальная судоверфь; Тюмень;;Омск  ;РКО (РРР до 2022); Эксплуатируется ;;;;;01.01.2006;;;32.4;27.1;7.5;7.5;659;0;6.48;0;75.05;;2;1.58;;;;;;;0;;;;0;;;;;;;0;;0;;;;0;5;;;;;
227956;01;;;ППС-1;053;Несамоходный дебаркадер, накопление и пересадка пассажиров;О2,0;Fleetphoto, Речной регистр;Тюмень;ОАО «Тюменский судостроительный завод»; Тюмень;;Омск  ;РКО (РРР до 2022); Эксплуатируется ;;;;;16.06.2006;;;32.4;27.1;7.74;7.5;658.5;0;6;0;71.75;;2;1.58;;;;;;;0;;;;0;;;;;;;0;;0;;;;0;5;;;;;
227978;001;;;ППС-2;053;Пассажирский плавучий причал;О2,0;Fleetphoto, Речной регистр;Омск;ЗАО «Омский судоремонтный завод»; Омск;;Омск  ;РКО (РРР до 2022); Эксплуатируется ;;;;;30.05.2007;;;32.4;27.1;7.74;7.5;659.4;0;6;0;74.9;;2;1.58;;;;;;;0;;;;0;;;;;;;0;;0;;;;0;5;;;;;
227979;002;;;ППС-3;053;Пассажирский плавучий причал;О2,0;Fleetphoto, Речной регистр;Омск;ЗАО «Омский судоремонтный завод»; Омск;;Омск  ;РКО (РРР до 2022); Эксплуатируется ;;;;;01.06.2007;;;32.4;27.1;7.74;7.5;659.4;0;6;0;74.9;;2;1.58;;;;;;;0;;;;0;;;;;;;0;;0;;;;0;5;;;;;
227980;2;;;ДП-2;053;Несамоходный дебаркадер, накопление и пересадка пассажиров;О 2,0 I;Речной регистр, Fleetphoto;"ЗАО ""Экспериментальная судоверфь"",Тюмень";Экспериментальная судоверфь; Тюмень;;Омск  ;РКО (РРР до 2022); Эксплуатируется ;;;;;01.01.2007;;;32.4;27.1;7.5;7.5;658.54;0;6.48;0;75.05;;2;1.58;;;;;;;0;;;;0;;;;;;;0;;0;;;;0;5;;;;;
228032;1;;;2501;16803;Баржа-площадка стоечный причал для посадки-высадки;М3,0(ЛЕД30);Речной регистр, Fleetphoto;Улан-Удэ;Улан-Удэнский ССРЗ; Улан-Удэ;;Байкал  ;РКО (РРР до 2022); Эксплуатируется ;;;;;01.01.1991;;;84.9;83;17.5;16.5;4420.5;0;0;0;3185;;3.3;0.75;;;;;;;0;;;;0;;;;;;;0;;0;;;;0;17;;;;;
229472;;;;Пирс №1;б\п;Плавучий объект, установленный у берега, причал;Л0,6 IV;Речной регистр;;;;;;;;;;;;01.01.2019;;;40.18;0;32.88;0;111.8;0;0;0;0;;0.82;0.475;;;;;;;0;;;;0;;;;;;;0;;0;;;;0;0;;;;;
229473;;;;Пирс №2;б\п;Плавучий объект установленный у берега, причал;Л0,6 IV;Речной регистр;;;;;;;;;;;;01.01.2019;;;22;0;1.5;0;12.4;0;0;0;0;;0.7;0.364;;;;;;;0;;;;0;;;;;;;0;;0;;;;0;0;;;;;
229474;;;;Пирс №3;б\п;Плавучий объект установленный у берега, причал;Л0,6 IV;Речной регистр;;;;;;;;;;;;01.01.2019;;;22;0;1.5;0;12.4;0;0;0;0;;0.7;0.364;;;;;;;0;;;;0;;;;;;;0;;0;;;;0;0;;;;;
229847;483;;;Плавпричал 483;824, 824М;Плавучий объект, причальный понтон;Р1,2 IV;Fleetphoto, Речной регистр;Свирская судоверфь;Свирская судостроительная верфь; Никольский;;Санкт-Петербург  ;РКО (РРР до 2022); Эксплуатируется ;;;;;01.01.1993;;;109.4;108.8;9.8;9;2472.8;0;0;0;1419.9;;2.7;1.54;;;;;;;0;;;;0;;;;;;;0;;0;;;;0;9;;;;;
229848;479;;;Плавпричал 479;824, 824М;Плавучий объект, причальный понтон;Р1,2 IV;Fleetphoto, Речной регистр;Свирица;Свирская судостроительная верфь; Никольский;;Санкт-Петербург  ;РКО (РРР до 2022); Эксплуатируется ;;;;;01.01.1993;;;109.4;108.8;9.8;9;2472.8;0;0;0;1419.9;;2.7;1.54;;;;;;;0;;;;0;;;;;;;0;;0;;;;0;9;;;;;
229858;433;;;ПЖ-61/3;824;Понтон. Плавучий причал для швартовки судов;Р1,2 I;Речной регистр, Fleetphoto;Свирская судоверфь;Свирская судостроительная верфь; Никольский;;Санкт-Петербург  ;РКО (РРР до 2022); Эксплуатируется ;;;;;01.01.1988;;;36.3;36;9.4;9;824.95;0;0;0;463;;2.6;1.2;;;;;;;2;;;;0;;;;;;;0;;0;;;;0;11;;;;;
229884;91;;;НМ-1;25285;Плавучий объект, наплавной мост для переправы транспорта и пешеходов;Р1,2 IV;Речной регистр, Fleetphoto;"ОАО ""ЧССЗ"", Череповец";ОАО «Череповецкий судостроительно-судоремонтный завод»; Череповец;;Санкт-Петербург  ;РКО (РРР до 2022); Эксплуатируется ;;;;;01.01.2003;;;25.2;20.3;8.5;8.5;396.2;0;41.2;41.2;101.8;;2.3;1.716;;;;;;;0;;;;0;;;;;;;0;;0;;;;3;4;;;;;
229987;1;;;Наплавной мост-2;25285;Плавучий объект, наплавной мост для переправы транспорта и пешеходов;Р1,2 IV;Речной регистр, Fleetphoto;слип НЛРВПиС, Шлиссельбург;ООО «Невский ССРЗ»; Шлиссельбург;;Санкт-Петербург  ;РКО (РРР до 2022); Эксплуатируется ;;;;;01.01.2004;;;25.2;20.3;8.5;8.5;181.3;0;0;41.6;101.8;;2.3;1.716;;;;;;;0;;;;0;;;;;;;0;;0;;;;0;4;;;;;
230008;;;;ПНП-61М;824, 824М;Плавучий объект, железобетонный причальный понтон;Р1,2;Fleetphoto, Речной регистр;Свирская судоверфь;Свирская судостроительная верфь; Никольский;;Санкт-Петербург  ;РКО (РРР до 2022); Эксплуатируется ;;;;;01.01.1983;;;36.8;36;9.4;9;829.2;0;25;25;397.45;;2.6;1.4;;;;;;;0;;;;0;;;;;;;0;;0;;;;0;11;;;;;
230035;;;;ГП-5;б/п;Несамоходный грузовой понтон;Р1,2;Речной регистр, Fleetphoto;Выборг;Выборгский судостроительный завод; Выборг;;Санкт-Петербург  ;РКО (РРР до 2022); Эксплуатируется ;;;;;01.01.1982;;;24.2;24;18.2;18;1018.8;0;400;400;197.34;;3;1.206;;;;;;;0;;;;0;;;;;;;0;;0;;;;3;3;;;;;
230276;13;;;Интурист-1;81100;Плавучий причал;О2,0 I;Речной регистр, Fleetphoto;Сокольская судоверфь, п.Сокольское;Сокольская судоверфь; Сокольское;;Нижний Новгород  ;РКО (РРР до 2022); Эксплуатируется ;;;;;01.01.1987;;;71;69.6;14.4;14;1975.3;0;1279.21;0;1668;;2;0.4;;;;;;;4;;;;0;;;;;;;0;;0;;;;5;11;;;;;
230290;36;;;К-3052;81218БП;Плавучий причал, установленный у берега;Р1,2 IV;Речной регистр, Fleetphoto;РЭБ пам. Кирова, Аркуль;"ГП «Судостроительно-судоремонтный завод ""Память Кирова"" ВРП МРФ РСФСР»"; Аркуль;;Пермь  ;РКО (РРР до 2022); Эксплуатируется ;;;;;01.01.1993;;;71.4;70;13.66;13.26;1613.1;0;0;0;1180;;1.79;1.5;;;;;;;0;;;;0;;;;;;;0;;0;;;;2;6;;;;;
230292;37;;;К-3053;81218БП;Плавучий причал, установленный у берега;Р1,2 IV;Речной регистр, Fleetphoto;г. Киров;"ГП «Судостроительно-судоремонтный завод ""Память Кирова"" ВРП МРФ РСФСР»"; Аркуль;;Пермь  ;РКО (РРР до 2022); Эксплуатируется ;;;;;01.01.1993;;;71.4;70;13.66;13.26;1689.4;0;0;0;230.5;;1.79;1.5;;;;;;;0;;;;0;;;;;;;0;;0;;;;4;6;;;;;
230573;1230;;;ДЕБАРКАДЕР №1230;Р-172;Плавучий объект, причал для пассажирских судов;Р1,2 I;Речной регистр, Fleetphoto;Кострома;ОАО «Костромская судоверфь»; Кострома;;Москва  ;РКО (РРР до 2022); Эксплуатируется ;;;;;01.01.1993;;;45.4;45;12.4;12;1550;0;0;8;556;;2.8;1.99;;;;;;;0;;;;0;;;;;;;0;;0;;;;2;4;;;;;
230707;;;;Самарка-1;471;Баржа-понтон, стоечное;Р1,2;Речной регистр;Череповецкий ССЗ, Череповец;;;;;;;;;;;01.01.1958;;;40.65;38.5;7.39;7;319.8;0;0;200;0;;1.4;0.29;;;;;;;0;;;;0;;;;;;;0;;0;;;;1;6;;;;;
230892;1;;;"Мост ""Дружба""";625;Понтонный наплавной мост, автомобильное и пешеходное сообщение;Л0,6 III;Речной регистр, Fleetphoto;"ГУП ""Окская судоверфь"", Навашино";ЗАО «Окская судоверфь»; Навашино;;Нижний Новгород  ;РКО (РРР до 2022); Эксплуатируется ;;;;;01.01.1999;;;155.85;155.85;10;10;1429.2;0;20;0;350;;1.1;0.86;;;;;;;0;;;;0;;;;;;;0;;0;;;;0;0;;;;;
231119;020;;;ЗИМНЯЯ КАНАВКА;;Плавпричал;K(*) [1] berth connected ship (S), floating terminal;Морской регистр;;;;Россия;Большой порт Санкт-Петербург;;;;28/12/2023;;;28/08/2024;36.3;35.21;36.35;;12.15;;66;53;44;;141;0.82;1.58;;;Несамоходное;;;;;;;;;;;;;;;;;;;;;1;;;4;;;;
