Название судна;Регистровый номер;Номер ИМО;Бывшее название;Позывной;Порт приписки;Флаг;Символ класса;Переоборудование/модернизация существенного характера;Материал корпуса;Тип судна;Дата закладки киля;Дата постройки;Страна постройки;Строительный номер;Дата значительной части;Значительная часть;Валовая вместимость;Чистая вместимость;Дедвейт;Водоизмещение;Длина наибольшая (теоретическая);Длина габаритная;Длина расчетная;Ширина габаритная;Высота борта;Осадка;Скорость;Тип силовой установки;Главные двигатели;Количество и мощность ГЭД;Количество и тип движителя;Количество лопастей;Количество и мощность генераторов;Главные котлы;Холодильная установка;Рабочая температура;Хладагенты;Радио-навигационное оборудование;Количество и кубатура грузовых трюмов;Охлаждаемые грузовые помещения;Наливные танки;Количество и тип контейнеров;Количество палуб;Количество переборок;Число пассажиров коечные;Число пассажиров бескоечных;Спецперсонал;Грузовые люки (число и размер в свету);Стрелы;Краны;Запасы топлива;Типы топлива;Водяной балласт;Подогреватели;Характеристика снабжения;Категория якорных цепей;Калибр якорных цепей
НАДЕЖНЫЙ;174033;;МБ-6121;UGDB;Владивосток;Россия;KM(*) L3 R2 Tug;;Сталь;Буксир;20.04.1990;28.09.1990;СССР;6121;;;78 MK-1969;23 MK-1969;17.000 т.;109 т.;23.40 м.;23.40 м.;21.50 м.;5.88 м.;2.60 м.;1.86 м.;10.май;Дизельная;"Год постройки ГД: 1980 Страна постройки: СССР Фирма постройки ГД: ""ДАЛЬДИЗЕЛЬ-ДВ"", ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ Количество и мощность ГД: 1*232 Марка ГД: 8ЧНСП 2А 18/22";;1 - Винт фиксированного шага цельнолитой;4;1* 14 1* 13;;;;;Аппаратура автоматической идентификационной системы с ГНСС ГЛОНАСС Аппаратура ОВЧ двусторонней радиотелефонной связи (ГМССБ) Магнитный компас Приемник службы НАВТЕКС Приемник электронной системы определения местоположения (ЭСОМ) Радиоустановка ОВЧ (ГМССБ) Радиоустановка СЧ (ГМССБ) Спутниковый аварийный радиобуй системы КОСПАС-САРСАТ Устройство указания местоположения для целей поиска и спасания: радиолокационный ответчик (РЛО) Эхолот;;;;;1.0;3.0;0.0;0.0;0.0;;;;0;Дизельное;0 m3;;192;Обыкновенная;19.0
НАДЁЖНЫЙ-1;961017;8684735;JIH DA № 6;UBCX3;Корсаков;Россия;(KM)* (REF) fishing vessel;;Сталь;Рыболовное;01.02.1996;01.10.1996;Тайвань;;;;1121 MK-1969;362 MK-1969;824.000 т.;1748 т.;66.70 м.;66.70 м.;58.90 м.;10.00 м.;4.50 м.;4.10 м.;11.0;Дизельная;Год постройки ГД: 1996 Страна постройки: Япония Фирма постройки ГД: HANSHIN DIESEL WORKS LTD Количество и мощность ГД: 1*1324 Марка ГД: LH31RG;;1 - Винт фиксированного шага цельнолитой;4;3* 500;;;;;Аппаратура автоматической идентификационной системы Аппаратура ОВЧ двусторонней радиотелефонной связи (ГМССБ) Гирокомпас Магнитный компас Приемник службы НАВТЕКС Приемник цифрового избирательного вызова (не используется) Радиолокационная станция (не СОЛАС) Радиостанция спасательных средств (не ГМССБ) (не используется) Радиоустановка ОВЧ (ГМССБ) Радиоустановка СЧ/ВЧ (ГМССБ) Спутниковый аварийный радиобуй системы КОСПАС-САРСАТ Судовая земная станция признанной подвижной спутниковой службы (ГМССБ) Эхолот;;8* 1113;;;2;8;;;;;;;251;Дизельное;;;315;Повышенной прочности;30.0
НАДЫМ;170564;9831268;ПРОЕКТ Т3687 ПОСТР. № 901;UBIQ7;Мурманск;Россия;KM(*) Arc6 (hull, machinery) [1] R1 AUT1 OMBO FF3WS ANTI-ICE ECO WINTERIZATION(-40) Tug (escort) (oil-recovery) (salvage) (>60°C);;Сталь;Буксир;17.05.2017;03.06.2018;Россия;901;;;742;222;304.000 т.;1383 т.;36.00 м.;36.00 м.;32.30 м.;13.00 м.;7.80 м.;5.46 м.;14.0;Дизельная;Год постройки ГД: 2017 Страна постройки: США Фирма постройки ГД: CATERPILLAR INC. Количество и мощность ГД: 2*3200 Марка ГД: 8Z 280-ET;;2 - Винторулевая колонка;4;2* 250;;;;;Аппаратура автоматической идентификационной системы Аппаратура автоматической идентификационной системы с ГНСС ГЛОНАСС Аппаратура ОВЧ двусторонней радиотелефонной связи (ГМССБ) Аппаратура ОВЧ двусторонней радиотелефонной связи с воздушными судами Гирокомпас Командно-трансляционное устройство Лаг (устройство для измерения скорости и пройденного расстояния относительно воды) Магнитный компас Оборудование системы опознавания судов и слежения за ними на дальнем расстоянии Приемник службы НАВТЕКС Приемник электронной системы определения местоположения (ЭСОМ) Приемоиндикатор ГНСС с ГЛОНАСС Радиолокационная станция (не СОЛАС) Радиолокационная станция со средством автоматической радиолокационной прокладки (РЛС САРП) Радиотелефонная станция ОВЧ (не ГМССБ) Радиоустановка ОВЧ (ГМССБ) Радиоустановка СЧ/ВЧ (ГМССБ) Регистратор данных рейса Система контроля дееспособности вахтенного помощника капитана Система приема внешних звуковых сигналов Судовая земная станция системы ГМССБ с ГНСС ГЛОНАСС Судовая система охранного оповещения Устройство дистанционной передачи курса Устройство указания местоположения для целей поиска и спасания: радиолокационный ответчик (РЛО) Электронная картографическая навигационно-информационная система (ЭКНИС);;;;2.0;1.0;5.0;;4.0;;;;1*3.0;209;Дизельное;173 m3;;298;Особой прочности;32.0
НАДЫМ;940677;9142904;ВАЛЕНТИН ШАШИН;UDGZ;Большой порт Санкт-Петербург;Россия;KM(*) L3 [1] R1;;Сталь;Генгруз;08.12.1994;06.11.1996;Россия;36;;;4955 MK-1969;1663 MK-1969;6207.000 т.;8595 т.;140.00 м.;140.00 м.;134.00 м.;16.56 м.;6.70 м.;4.68 м.;10.0;Дизельная;Год постройки ГД: 1994 Страна постройки: Германия Фирма постройки ГД: MTU REMAN TECHNOLOGIES GMBH Количество и мощность ГД: 2*970 Марка ГД: 8NVDS 48A-3U;;2 - Винт фиксированного шага цельнолитой;3;3* 150;;;;;Аппаратура автоматической идентификационной системы Аппаратура ОВЧ двусторонней радиотелефонной связи (ГМССБ) Гирокомпас Командно-трансляционное устройство Лаг (устройство для измерения скорости и пройденного расстояния относительно воды) Магнитный компас Приемник службы НАВТЕКС Приемник электронной системы определения местоположения (ЭСОМ) Радиолокационная станция (не СОЛАС) Радиоустановка ОВЧ (ГМССБ) Радиоустановка СЧ/ВЧ (ГМССБ) Система управления курсом судна (авторулевой) Спутниковый аварийный радиобуй системы КОСПАС-САРСАТ Судовая земная станция признанной подвижной спутниковой службы (ГМССБ) Судовая система охранного оповещения Устройство указания местоположения для целей поиска и спасания: радиолокационный ответчик (РЛО) Эхолот;1*1647 1*1701 1*1814 1*1702;;;140;1;10;0;0;0;4 - 18.7*11.8;;;417;Дизельное, Моторное;2240 m3;ПТ;889;Повышенной прочности;46.0
НАДЫМ;960334;9210933;ЛИДА;UBJF9;Архангельск;Россия;KM(*) Ice1 (at d &lt= 3.0 m) R2-RSN AUT3;;Сталь;Генгруз;01.01.1996;30.08.2007;Россия;4930;;;1803 MK-1969;639 MK-1969;2164.000 т.;3127 т.;88.90 м.;88.90 м.;83.36 м.;12.20 м.;3.50 м.;3.40 м.;10.0;Дизельная;Год постройки ГД: 1997 Страна постройки: Германия Фирма постройки ГД: DEUTZ POWER SYSTEMS GMBH & COKG Количество и мощность ГД: 2*720 Марка ГД: TBD 616 V12;;2 - Винт фиксированного шага цельнолитой;4;2* 100;;;;;Аппаратура автоматической идентификационной системы с ГНСС ГЛОНАСС Аппаратура ОВЧ двусторонней радиотелефонной связи (ГМССБ) Гирокомпас Командно-трансляционное устройство Лаг (устройство для измерения скорости и пройденного расстояния относительно воды) Магнитный компас Приемник расширенного группового вызова Приемник службы НАВТЕКС Приемник электронной системы определения местоположения (ЭСОМ) Радиолокационная станция (не СОЛАС) Радиолокационная станция со средством автоматической радиолокационной прокладки (РЛС САРП) Радиоустановка ОВЧ (ГМССБ) Радиоустановка СЧ/ВЧ (ГМССБ) Система контроля дееспособности вахтенного помощника капитана Система управления курсом судна (авторулевой) Спутниковый аварийный радиобуй системы КОСПАС-САРСАТ Судовая земная станция признанной подвижной спутниковой службы (ГМССБ) Судовая система охранного оповещения Устройство указания местоположения для целей поиска и спасания: радиолокационный ответчик (РЛО) Эхолот;1*1130 1*1100;;;;2;6;0;0;0;1 - 9.0*20.9 1 - 9.0*20.4;;;101;Дизельное;510 m3;;351;Особой прочности;28.0
НАЗИМОВ;725;8662634;QING YUAN YU 004;UBIZ3;Владивосток;Россия;(KM)* (REF) fishing vessel;;Сталь;Рыболовное;15.12.2000;09.03.2001;Тайвань;;;;714 MK-1969;218 MK-1969;453.290 т.;697 т.;59.20 м.;59.20 м.;50.80 м.;9.00 м.;3.95 м.;3.60 м.;12.0;Дизельная;Год постройки ГД: 1999 Страна постройки: Япония Фирма постройки ГД: HANSHIN DIESEL WORKS LTD Количество и мощность ГД: 1*1201 Марка ГД: LH28;;1 - Винт фиксированного шага цельнолитой;4;2* 320;;;-5;R22;Аппаратура автоматической идентификационной системы с ГНСС ГЛОНАСС Гирокомпас Лаг (устройство для измерения скорости и пройденного расстояния относительно воды) Магнитный компас Приемник расширенного группового вызова Приемник службы НАВТЕКС Приемник электронной системы определения местоположения (ЭСОМ) Радиолокационная станция (не СОЛАС) Радиолокационная станция со средством электронной прокладки (РЛС СЭП) Радиоустановка ОВЧ (ГМССБ) Радиоустановка СЧ (ГМССБ) Система управления курсом судна (авторулевой) Спутниковый аварийный радиобуй системы КОСПАС-САРСАТ Судовая земная станция признанной подвижной спутниковой службы (ГМССБ) Устройство указания местоположения для целей поиска и спасания: радиолокационный ответчик (РЛО) Эхолот;;5* 791;;;1;5;;;;O 1 - 1750.0*1760.0O 1 - 1700.0*1700.0;;;254;Дизельное;;;243;Обыкновенная;30.0
НАРВА;770546;8923557;БАЙКАЛ;;Большой порт Санкт-Петербург;Россия;KM(*) L3 R3 oil tanker(>60°C)(ESP);;;Нефтеналивное;09.05.1977;09.01.1978;Болгария;125;;;950;495;1621.000 т.;2260 т.;60.55 м.;60.55 м.;56.67 м.;11.00 м.;5.50 м.;4.78 м.;08.июл;Дизельная;Год постройки ГД: 1976 Страна постройки: ГДР Фирма постройки ГД: MTU REMAN TECHNOLOGIES GMBH Количество и мощность ГД: 2*224 Марка ГД: 8NVD 36-1U;;2 - Винт фиксированного шага цельнолитой;3;1* 34 2* 25;;;;;Аппаратура автоматической идентификационной системы с ГНСС ГЛОНАСС Аппаратура ОВЧ двусторонней радиотелефонной связи (ГМССБ) Магнитный компас Приемник электронной системы определения местоположения (ЭСОМ) Радиолокационная станция (не СОЛАС) Радиотелефонная станция ОВЧ (не ГМССБ) Радиоустановка ОВЧ (ГМССБ) Система контроля дееспособности вахтенного помощника капитана Спутниковый аварийный радиобуй системы КОСПАС-САРСАТ Устройство указания местоположения для целей поиска и спасания: радиолокационный ответчик (РЛО);1*127;;13* 1701;;1;10;0;0;0;1 - 1.7*2.7;;;6;Дизельное;110 m3;ПГ;280;Обыкновенная;31.0
НАРВА;770298;7612436;NARVA;UDOP;Большой порт Санкт-Петербург;Россия;KM(*) L3 R2 General dry cargo ship;;;Судно для генерального груза;14.02.1977;17.05.1978;Финляндия;321;;;1926 MK-1969;931 MK-1969;2649.000 т.;3933 т.;95.00 м.;95.00 м.;90.20 м.;13.22 м.;5.50 м.;4.10 м.;12.май;Дизельная;Год постройки ГД: 1985 Страна постройки: ГДР Фирма постройки ГД: MTU REMAN TECHNOLOGIES GMBH Количество и мощность ГД: 2*567 Марка ГД: 6NVD 48A-2U;;2 - Винт фиксированного шага цельнолитой;4;3* 88;;;;;Аппаратура автоматической идентификационной системы Аппаратура ОВЧ двусторонней радиотелефонной связи (ГМССБ) Гирокомпас Магнитный компас Оборудование системы опознавания судов и слежения за ними на дальнем расстоянии Приемник расширенного группового вызова Приемник службы НАВТЕКС Приемник цифрового избирательного вызова (не используется) Приемник электронной системы определения местоположения (ЭСОМ) Радиолокационная станция (не СОЛАС) Радиотелефонная станция ОВЧ (не ГМССБ) Радиоустановка ОВЧ (ГМССБ) Радиоустановка СЧ (ГМССБ) Система контроля дееспособности вахтенного помощника капитана Система управления курсом судна (авторулевой) Спутниковый аварийный радиобуй системы КОСПАС-САРСАТ Судовая земная станция признанной подвижной спутниковой службы (ГМССБ) Судовая система охранного оповещения Устройство указания местоположения для целей поиска и спасания: радиолокационный ответчик (РЛО) Эхолот;1*1057 1*1248 1*1170;;;;1;6;0;0;0;2 - 10.2*16.5 1 - 8.4*16.5;;;212;Моторное;1263 m3;;500;Повышенной прочности;34.0
НАРВАЛ;970891;9171876;FAR SENIOR;UBVQ9;Архангельск;Россия;KM* Ice1 AUT1 DYNPOS-2 Anchor handling vessel, Tug, Supply vessel (OS);;Сталь;Буксир/Судно снабжения (ПБУ);12.09.1997;03.06.1998;Норвегия;176;;;3125 MK-1969;1182 MK-1969;2758.000 т.;6403 т.;80.00 м.;80.00 м.;69.30 м.;18.05 м.;8.00 м.;6.60 м.;17.0;Дизельная;Год постройки ГД: 1997 Страна постройки: Норвегия Фирма постройки ГД: BERGEN DIESEL AS Количество и мощность ГД: 2*3535 Марка ГД: BRM-8Год постройки ГД: 1997 Страна постройки: Норвегия Фирма постройки ГД: BERGEN DIESEL AS Количество и мощность ГД: 2*2650 Марка ГД: BRM 6;;2 - Винт регулируемого шага;4;1* 1070 1* 350 2* 2240;;;;;Аппаратура автоматической идентификационной системы с ГНСС ГЛОНАСС Аппаратура ОВЧ двусторонней радиотелефонной связи (ГМССБ) Гирокомпас Командно-трансляционное устройство Лаг (устройство для измерения скорости и пройденного расстояния относительно воды) Магнитный компас Оборудование системы опознавания судов и слежения за ними на дальнем расстоянии Приемник расширенного группового вызова Приемник службы НАВТЕКС Приемник электронной системы определения местоположения (ЭСОМ) Радиолокационная станция (не СОЛАС) Радиолокационная станция со средством автоматической радиолокационной прокладки (РЛС САРП) Радиоустановка ОВЧ (ГМССБ) Радиоустановка СЧ/ВЧ (ГМССБ) Система контроля дееспособности вахтенного помощника капитана Система управления курсом судна (авторулевой) Спутниковый аварийный радиобуй системы КОСПАС-САРСАТ Судовая земная станция признанной подвижной спутниковой службы (ГМССБ) Судовая система охранного оповещения Упрощенный регистратор данных рейса Устройство указания местоположения для целей поиска и спасания: радиолокационный ответчик (РЛО) Эхолот;;;;;1.0;5.0;;;;;;2*5.0 1*10.0;1150;Дизельное;1668 m3;;936;Особой прочности;46.0
НАРЬЯН-МАР;694643;8982735;ОТ-2015;UGPT;Архангельск;Россия;KM* Ice2 R2-RSN tug;;;Буксир;30.05.1969;31.12.1969;Венгрия;15;;;730 MK-1969;219 MK-1969;150.000 т.;1024 т.;48.50 м.;48.50 м.;44.00 м.;11.60 м.;3.30 м.;2.10 м.;12.0;Дизельная;Год постройки ГД: 1965 Страна постройки: ГДР Фирма постройки ГД: MTU REMAN TECHNOLOGIES GMBH Количество и мощность ГД: 1*736 Марка ГД: 8NVD 48AГод постройки ГД: 1985 Страна постройки: ГДР Фирма постройки ГД: MTU REMAN TECHNOLOGIES GMBH Количество и мощность ГД: 1*736 Марка ГД: 8NVD 48A;;2 - Винт фиксированного шага цельнолитой;5;2* 88;;;;;Аппаратура автоматической идентификационной системы Аппаратура ОВЧ двусторонней радиотелефонной связи (ГМССБ) Командно-трансляционное устройство Магнитный компас Приемник расширенного группового вызова Приемник службы НАВТЕКС Приемник электронной системы определения местоположения (ЭСОМ) Радиолокационная станция (не СОЛАС) Радиоустановка ОВЧ (ГМССБ) Радиоустановка СЧ/ВЧ (ГМССБ) Спутниковый аварийный радиобуй системы КОСПАС-САРСАТ Судовая земная станция признанной подвижной спутниковой службы (ГМССБ) Устройство указания местоположения для целей поиска и спасания: радиолокационный ответчик (РЛО) Эхолот;;;;;1.0;6.0;0.0;0.0;0.0;;;;139;Дизельное;0 m3;;400;Обыкновенная;32.0
НАРЬЯН-МАР;140263;9758179;БУМИ НАРЬЯН-МАР;UBYN3;Астрахань;Россия;KM(*) Arc5 AUT1-ICS FF3WS DYNPOS-2 supply vessel;;Сталь;Судно обеспечения (ПБУ);10.10.2014;15.09.2015;Сингапур;H385;;;2893 MK-1969;868 MK-1969;1195.000 т.;2779 т.;81.11 м.;81.11 м.;74.97 м.;16.86 м.;6.20 м.;4.20 м.;14.0;Дизельная;Год постройки ГД: 2014 Страна постройки: Италия Фирма постройки ГД: Wartsila Italia S.p.A. Количество и мощность ГД: 2*3060 Марка ГД: W9L26F;;2 - Винт регулируемого шага;4;2* 450 1* 350 2* 1600;;;;;Аппаратура ОВЧ двусторонней радиотелефонной связи (ГМССБ) Аппаратура ОВЧ двусторонней радиотелефонной связи с воздушными судами Гирокомпас Командно-трансляционное устройство Лаг (устройство для измерения скорости и пройденного расстояния относительно воды) Магнитный компас Оборудование системы опознавания судов и слежения за ними на дальнем расстоянии Приемник расширенного группового вызова Приемник службы НАВТЕКС Приемник цифрового избирательного вызова (не используется) Приемоиндикатор ГНСС с ГЛОНАСС Радиолокационная станция (не СОЛАС) Радиолокационная станция со средством автоматической радиолокационной прокладки (РЛС САРП) Радиоустановка ОВЧ (ГМССБ) Радиоустановка СЧ/ВЧ (ГМССБ) Регистратор данных рейса Система контроля дееспособности вахтенного помощника капитана Система управления курсом судна (авторулевой) Спутниковый аварийный радиобуй системы КОСПАС-САРСАТ Судовая земная станция признанной подвижной спутниковой службы (ГМССБ) Судовая система охранного оповещения Устройство дистанционной передачи курса Устройство указания местоположения для целей поиска и спасания: передатчик АИС с ГНСС ГЛОНАСС Устройство указания местоположения для целей поиска и спасания: радиолокационный ответчик (РЛО) Электронная картографическая навигационно-информационная система (ЭКНИС) Эхолот;;;;;1.0;6.0;0.0;0.0;0.0;;;;512;Дизельное;806 m3;;726;Особой прочности;40.0
НАССЕМ;142211;;;;Туркменбаши;Туркменистан;(KE)* R3 Pontoon (technological);;Сталь;Баржа;;01.11.2004;Нидерланды;;;;106;32;0.000 т.;244 т.;31.10 м.;30.48 м.;0.00 м.;7.32 м.;1.85 м.;1.14 м.;0.0;;;;;0;1* 18;;;;;;;;;;1.0;0.0;0.0;0.0;0.0;;;;0;;0 m3;;0;;0.0
НАТАЛИ;723776;7855260;PAN NATALY;UBLF8;Владивосток;Россия;(KM)* L4 R3 Oil tanker (ESP) (>60°C);;Сталь;Нефтяной танкер;01.01.1972;01.06.1972;Япония;112674;;;275 MK-1969;152 MK-1969;580.000 т.;707 т.;37.80 м.;37.80 м.;34.50 м.;8.30 м.;3.30 м.;3.00 м.;9.0;Дизельная;"Год постройки ГД: 1971 Страна постройки: Япония Фирма постройки ГД: KUBOTA IRON WORKS Количество и мощность ГД: 1*265 Марка ГД: 6M(A)L-TK ""YANMAR""";;1 - Винт фиксированного шага цельнолитой;3;1* 60 1* 36;;;;;Аппаратура ОВЧ двусторонней радиотелефонной связи (ГМССБ) Магнитный компас Приемник цифрового избирательного вызова (не используется) Приемник электронной системы определения местоположения (ЭСОМ) Радиоустановка ОВЧ (ГМССБ) Система контроля дееспособности вахтенного помощника капитана Спутниковый аварийный радиобуй системы КОСПАС-САРСАТ Устройство указания местоположения для целей поиска и спасания: радиолокационный ответчик (РЛО);;;3* 563;;3;7;0;0;0;6 - 0.5*0.7;;;18;Дизельное;28 m3;ПГ;165;Обыкновенная;22.0
НАТАН НЕСИС;220504;1058949;HST01;UAJA9;Холмск;Россия;KM* tug;;Сталь;Буксир;16.08.2022;11.06.2024;Малайзия;HS77;;;278;84;260.560 т.;278 т.;30.30 м.;30.00 м.;27.17 м.;8.60 м.;4.20 м.;3.50 м.;11.0;Дизельная;Год постройки ГД: 2021 Страна постройки: Япония Фирма постройки ГД: YANMAR POWER TECHNOLOGY CO., LTD. Количество и мощность ГД: 1*837 Марка ГД: 6EY17W-GГод постройки ГД: 2021 Страна постройки: Япония Фирма постройки ГД: YANMAR POWER TECHNOLOGY CO., LTD. Количество и мощность ГД: 1*837 Марка ГД: 6EY17W-G;;2 - Винт фиксированного шага цельнолитой;4;;;;;;Аппаратура ОВЧ двусторонней радиотелефонной связи (ГМССБ) Магнитный компас Приемник расширенного группового вызова Приемник службы НАВТЕКС Приемник электронной системы определения местоположения (ЭСОМ) Радиолокационная станция (не СОЛАС) Радиоустановка ОВЧ (ГМССБ) Радиоустановка СЧ (ГМССБ) Система контроля дееспособности вахтенного помощника капитана Спутниковый аварийный радиобуй системы КОСПАС-САРСАТ Судовая земная станция признанной подвижной спутниковой службы (ГМССБ) Устройство указания местоположения для целей поиска и спасания: радиолокационный ответчик (РЛО) Эхолот;;;;;1.0;9.0;;;;;;;;Дизельное;;;138;Повышенной прочности;19.0
НАУТИЛУС-ОДИН;794061;8937144;ЛИЗА;URI;Актау;Республика Казахстан;(KM)* R1;2021-12-29 Письма об одобрении №№ 141-351-10.2-91331 от 03.04.2017г, № 141-351-10.2-120813 от 02.05.2017г, №141-351-10.2-142539 от 25.05.2017г.\t, №141-351-10.2-256291 от 19.09.2017г. , №141-351-10.2-219112от 09.08.2018г, № 141-351-10.2-136343 от 21.05.2019г, № 141-351-10.2-11734 от 20.01.2020г, № \t141-351-10.2-29380 от 08.02.2021г., № 141-351-10.2-127795 от 21.05.2021 г, № 141-351-10.2-147682 от09.06.2021г, № 141-351-10.2-173153 от 06.07.2021г, № 141-351-10.2-309480 от 18.11.2021г, № 141-351-10.2-311352 от 19.11.2021, № 141-351-10.2-336164 от 15.12.2021г.\tОписание переоборудования см. Акт ф. 6.3.10 № 21.64761.141 от 29.12.2021;Сталь;Исследовательское;18.03.1979;29.09.1979;Польша;7;;;254 MK-1969;76 MK-1969;30.450 т.;253 т.;34.28 м.;32.78 м.;30.19 м.;7.44 м.;3.70 м.;2.20 м.;11.май;Дизельная;Год постройки ГД: 2017 Страна постройки: Корея Фирма постройки ГД: DOOSAN ENGINE CO LTD Количество и мощность ГД: 2*265 Марка ГД: L126TIH;;2 - Винт фиксированного шага цельнолитой;4;2* 50;;;;;Аппаратура ОВЧ двусторонней радиотелефонной связи (ГМССБ) Магнитный компас Приемник службы НАВТЕКС Приемник электронной системы определения местоположения (ЭСОМ) Радиолокационная станция (не СОЛАС) Радиоустановка ОВЧ (ГМССБ) Радиоустановка СЧ (ГМССБ) Спутниковый аварийный радиобуй системы КОСПАС-САРСАТ Судовая земная станция признанной подвижной спутниковой службы (ГМССБ) Устройство указания местоположения для целей поиска и спасания: радиолокационный ответчик (РЛО) Эхолот;;;;;1.0;7.0;0.0;0.0;0.0;;;;11;Дизельное;0 m3;;144;Повышенной прочности;19.0
НАХОДКА;774142;7807031;;UBLV;Таганрог;Россия;KM* L4 R2-RSN General dry cargo ship (occ-bulk-cargo);;Сталь;Судно для генерального груза;01.01.1977;22.04.1978;Румыния;551;;;2441 MK-1969;917 MK-1969;3227.000 т.;4375 т.;108.40 м.;108.40 м.;102.00 м.;15.00 м.;5.00 м.;3.26 м.;10.май;Дизельная;Год постройки ГД: 1977 Страна постройки: Германия Фирма постройки ГД: MTU REMAN TECHNOLOGIES GMBH Количество и мощность ГД: 2*515 Марка ГД: 6NVD 48A-2U;;2 - Винт фиксированного шага цельнолитой;4;3* 50;;;;;Аппаратура автоматической идентификационной системы Аппаратура автоматической идентификационной системы с ГНСС ГЛОНАСС Аппаратура ОВЧ двусторонней радиотелефонной связи (ГМССБ) Гирокомпас Лаг (устройство для измерения скорости и пройденного расстояния относительно воды) Магнитный компас Оборудование системы опознавания судов и слежения за ними на дальнем расстоянии Приемник службы НАВТЕКС Приемник цифрового избирательного вызова (не используется) Приемник электронной системы определения местоположения (ЭСОМ) Приемоиндикатор ГНСС с ГЛОНАСС Радиолокационная станция (не СОЛАС) Радиотелефонная станция ОВЧ (не ГМССБ) Радиоустановка ОВЧ (ГМССБ) Радиоустановка СЧ (ГМССБ) Система контроля дееспособности вахтенного помощника капитана Спутниковый аварийный радиобуй системы КОСПАС-САРСАТ Судовая земная станция признанной подвижной спутниковой службы (ГМССБ) Судовая система охранного оповещения Устройство указания местоположения для целей поиска и спасания: радиолокационный ответчик (РЛО) Эхолот;2*1070 2*1100;;;;1;8;0;0;0;4 - 15.4*11.0;;;100;Дизельное;1628 m3;;500;Обыкновенная;40.0
НАХОДКА;856431;8514734;SOZAN MARU;;Находка;Россия;(KM)* Ice2 R3 tug;;Сталь;Буксир;27.06.1985;25.11.1985;Япония;280;;;349;104;150.000 т.;554 т.;35.50 м.;35.50 м.;31.25 м.;9.20 м.;4.20 м.;3.10 м.;12.май;Дизельная;Год постройки ГД: 1985 Страна постройки: Япония Фирма постройки ГД: FUJI DIESEL CO LTD Количество и мощность ГД: 1*1288 Марка ГД: 6L27.5GГод постройки ГД: 1985 Страна постройки: Япония Фирма постройки ГД: FUJI DIESEL CO LTD Количество и мощность ГД: 1*1288 Марка ГД: 6L27.5G;;2 - Винторулевая колонка;4;2* 96;;;;;Аппаратура ОВЧ двусторонней радиотелефонной связи (ГМССБ) Командно-трансляционное устройство Магнитный компас Приемник электронной системы определения местоположения (ЭСОМ) Радиолокационная станция (не СОЛАС) Радиоустановка ОВЧ (ГМССБ) Система контроля дееспособности вахтенного помощника капитана Спутниковый аварийный радиобуй системы КОСПАС-САРСАТ Устройство указания местоположения для целей поиска и спасания: радиолокационный ответчик (РЛО);;;;;1.0;5.0;;;;;;;55;Дизельное;;;120;Обыкновенная;25.0
НАХОДКА;101856;;ZHEN XIN BO 1;;Корсаков;Россия;KE* pontoon for transportation services;;Сталь;Баржа;02.08.2010;04.01.2011;Китай;SH 009;;;5083;1524;12029.000 т.;14137 т.;92.50 м.;92.50 м.;88.80 м.;36.00 м.;5.80 м.;4.60 м.;;Несамоходное;;;;;;;;;;;;;;;1.0;7.0;;;;;;;;;9557 m3;;;;58.0
НАЯДА;201113;9997141;NAIAD;UBVZ4;Новороссийск;Россия;KM(*) [1] AUT1 FF3WS IWS tug, oil recovery ship(>60°C);;Сталь;Буксир;15.10.2021;31.08.2023;Турция;614;;;396 MK-1969;118;146.000 т.;671 т.;30.87 м.;30.87 м.;29.17 м.;11.20 м.;5.52 м.;3.85 м.;14.0;Дизельная;Год постройки ГД: 2022 Страна постройки: США Фирма постройки ГД: CATERPILLAR INC. Количество и мощность ГД: 1*1864 Марка ГД: 3516C-HDГод постройки ГД: 2022 Страна постройки: США Фирма постройки ГД: CATERPILLAR INC. Количество и мощность ГД: 1*1864 Марка ГД: 3516C-HD;;2 - Винторулевая колонка;4;2* 86;;;;;Аппаратура автоматической идентификационной системы Аппаратура ОВЧ двусторонней радиотелефонной связи (ГМССБ) Гирокомпас Лаг (устройство для измерения скорости и пройденного расстояния относительно воды) Магнитный компас Приемник расширенного группового вызова Приемник службы НАВТЕКС Приемник электронной системы определения местоположения (ЭСОМ) Радиолокационная станция (не СОЛАС) Радиоустановка ОВЧ (ГМССБ) Радиоустановка СЧ (ГМССБ) Система управления курсом судна (авторулевой) Спутниковый аварийный радиобуй системы КОСПАС-САРСАТ Судовая земная станция признанной подвижной спутниковой службы (ГМССБ) Устройство указания местоположения для целей поиска и спасания: радиолокационный ответчик (РЛО) Эхолот;;;;;1.0;5.0;;;;;;;119;Дизельное;99 m3;;211;Повышенной прочности;28.0
НБ-6;120186;;;;Большой порт Санкт-Петербург;Россия;K* R3 oil recovery ship;;Сталь;Нефтесборщик;01.01.1986;12.12.1986;;;;;65;0;120.000 т.;0 т.;28.20 м.;28.20 м.;0.00 м.;6.00 м.;1.50 м.;0.00 м.;0.0;Несамоходное;;;;0;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;;;;0;;0 m3;;0;;0.0
