vessel_name;Регистровый номер;Номер ИМО;Бывшее название;Позывной;Порт приписки;Флаг;Символ класса;Переоборудование/модернизация существенного характера;Основной тип;Дата постройки;Страна постройки;Строительный номер;Дата значительной части;Значительная часть;Валовая вместимость;Чистая вместимость;Дедвейт;Водоизмещение;Длина наибольшая (теоретическая);Длина габаритная;Длина расчетная;Ширина габаритная;Высота борта;Осадка;Скорость;Тип силовой установки;Главные двигатели;Количество лопастей;Общая мощность генераторов;Главные котлы;Холодильная установка;Рабочая температура;Хладагенты;Радио-навигационное оборудование;Охлаждаемые грузовые помещения;Наливные танки;Количество палуб;Количество переборок;Число пассажиров коечные;Число пассажиров бескоечных;Спецперсонал;Грузовые люки (число и размер в свету);Стрелы;Краны;Запасы топлива;Типы топлива;Водяной балласт;Подогреватели;Характеристика снабжения;Категория якорных цепей;Калибр якорных цепей;Проект судна;Дата постройки (первое освидетельствование);Место постройки;Длина конструктивная;Ширина конструктивная;Высота надводного борта;Грузоподъемность;Количество поперечных переборок;Количество продольных переборок;Пассажировместимость;Экипаж;Орг. группа;Количество наливных танков;Суммарный объем наливных танков;Грузоподъемность первой стрелы;Грузоподъемность второй стрелы;Грузоподъемность третьей стрелы;Материал корпуса;Материал надстройки;Марка главной силовой установки;ГЭД, всего;ГЭД, кВт всех;ГЭС, кВт всех;Завод постройки;Город постройки;Завод достройки;Город достройки;Заложено;Спущено на воду;Построено;Владелец;Оператор;Регистрация;Бортовой номер;MMSI;Текущее состояние;Примечания;Количество движителей;Тип движителей;Количество ГЭД;Общая мощность ГЭД;Количество грузовых трюмов;Кубатура грузовых трюмов;Количество контейнеров;Тип контейнеров;Источник
Лс-4473;143292;;;;Санкт-Петербург  ;;Р1,2 I;;;;;;;;1343.0;0.0;0.0;756.0;;98.0;;12.0;3.0;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;82540;01.07.2005;"ОАО ""Невский ССЗ""";70.0;12.0;2.0;0.0;4;0;0;30;0.0;0;0.0;0.0;0.0;0.0;Сталь РСА ГОСТ 5521-93;Сталь РСА ГОСТ 5521-93;;0.0;0.0;0.0;ООО «Невский ССРЗ»; Шлиссельбург;;;;;2005-01-01;;;РКО (РРР до 2022);СЗ-06-58;; Эксплуатируется ;В 2004/2005 годах на Невском ССЗ переоборудовано в плавучий ресторан по проекту 82540.Д/П от РРР-2005г.;;;;;;;;;Fleetphoto и Речной регистр
;143301;;;;;;;;;;;;;;740.0;0.0;1006.0;1338.0;;64.0;;12.0;3.0;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;Фин.1000;01.07.1959;Финляндия;60.0;12.0;1.0;1000.0;5;0;0;0;0.0;0;0.0;0.0;0.0;0.0;Сталь;Сталь;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;143307;;;;;;;;;;;;;;740.0;0.0;1007.0;1338.0;;64.0;;12.0;3.0;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;Фин.1000;01.07.1959;Финляндия;60.0;12.0;1.0;1000.0;5;0;0;3;0.0;0;0.0;0.0;0.0;0.0;Сталь;Сталь;;0.0;0.0;27.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;143311;;;;;;;;;;;;;;740.0;0.0;1007.0;1338.0;;64.0;;12.0;3.0;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;Фин.1000;25.11.1959;Финляндия;60.0;12.0;1.0;1000.0;5;0;0;0;0.0;0;0.0;0.0;0.0;0.0;Сталь;Сталь;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;143316;;;;;;;;;;;;;;259.0;78.0;50.0;277.0;;36.0;;8.0;2.0;;;Дизельный;;;221.0;;;;;;;;;;;;;;;;;;;;;;;У1А4;31.05.1959;А/О Раума Репола, г. Ловица,  Финляндия;35.0;8.0;1.0;0.0;5;0;0;10;0.0;0;0.0;0.0;0.0;0.0;СтальВСт3сп4ГОСТ5521-50;СтальВСт3 ГОСТ5521-50;8NVD36-IU;0.0;0.0;60.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;143317;;;;;;;;;;;;;;259.0;0.0;50.0;277.0;;36.0;;8.0;2.0;;;Дизельный;;;300.0;;;;;;;;;;;;;;;;;;;;;;;У1А4;10.11.1959;Раума Репола, г.Ловица, Финляндия;35.0;8.0;1.0;0.0;5;0;0;9;0.0;0;0.0;0.0;0.0;0.0;Сталь Ст3сп ГОСТ5521-50;Сталь Ст3 ГОСТ5521-50;8NVD36-IU (8ЧР 24/36);0.0;0.0;92.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;143318;;;;;;;;;;;;;;256.0;0.0;55.0;280.0;;36.0;;8.0;2.0;;;Дизельный;;;221.0;;;;;;;;;;;;;;;;;;;;;;;Фин.600;26.11.1959;А/О Раума, Репола, Финляндия;35.0;8.0;1.0;0.0;5;0;0;9;0.0;0;0.0;0.0;0.0;0.0;Сталь Ст3сп4 ГОСТ5521-50;Сталь Ст3 ГОСТ 5521-50;8NVD36-IU (8ЧР 24/36);0.0;0.0;60.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;143319;;;;;;;;;;;;;;740.0;0.0;1007.0;1338.0;;64.0;;12.0;3.0;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;Фин.1000;01.07.1959;Финляндия;60.0;12.0;1.0;1000.0;5;0;0;0;0.0;0;0.0;0.0;0.0;0.0;Сталь;Сталь;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;143331;;;;;;;;;;;;;;1058.0;0.0;1032.0;1680.0;;64.0;;12.0;3.0;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;457*;31.10.1960;Финляндия;60.0;12.0;0.0;1000.0;7;2;0;2;0.0;11;1957.0;0.0;0.0;0.0;Вст3сп4;Вст3сп4;;0.0;0.0;51.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;143337;;;;;;;;;;;;;;256.0;0.0;55.0;274.0;;36.0;;8.0;2.0;;;Дизельный;;;221.0;;;;;;;;;;;;;;;;;;;;;;;419/1А;28.11.1960;Финляндия;35.0;8.0;1.0;0.0;5;0;0;11;0.0;0;0.0;0.0;0.0;0.0;Сталь;Сталь;8NVD-36-IU;0.0;0.0;120.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;143338;;;;;;;;;;;;;;993.0;0.0;1088.0;1837.0;;79.0;;11.0;3.0;;;Дизельный;;;0.0;;;;;;;;;;;;;;;;;;;;;;;ТУ-3-100А;03.12.1960;Финляндия;76.0;11.0;1.0;500.0;6;0;0;20;0.0;0;0.0;3.0;0.0;0.0;Ст3;Ст3;8NVD-36A-IU;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;143339;;;;;;;;;;;;;;1078.0;355.0;1088.0;1740.0;;79.0;;11.0;3.0;;;Дизельный;;;425.0;;;;;;;;;;;;;;;;;;;;;;;Фин.1000/800;15.01.1962;Финляндия;78.0;11.0;1.0;980.0;10;0;0;10;0.0;0;0.0;3.0;0.0;0.0; ВСт3сп;Сталь; 8ЧРН 24/36 (8NVD-36A-IU);0.0;0.0;100.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;143340;;;;;;;;;;;;;;856.0;312.0;1087.0;1686.0;;79.0;;11.0;3.0;;;Дизельный;;;294.0;;;;;;;;;;;;;;;;;;;;;;;ФИН.1000/800;10.03.1962;Финляндия;78.0;11.0;1.0;958.0;7;0;0;20;0.0;0;0.0;3.0;0.0;0.0;Ст3;;8NVD-36-1U;0.0;0.0;122.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;143343;;;;;;;;;;;;;;996.0;412.0;1088.0;1666.0;;79.0;;11.0;3.0;;;Дизельный;;;294.0;;;;;;;;;;;;;;;;;;;;;;;ФИН.1000/800;01.01.1963;Финляндия;78.0;11.0;1.0;1000.0;6;0;0;11;0.0;0;0.0;6.0;0.0;0.0;Ст4сп1;Вст3сп2;8NVD-36A-1U;0.0;0.0;138.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;143344;;;;;;;;;;;;;;1088.0;355.0;1088.0;1687.0;;79.0;;11.0;3.0;;;Дизельный;;;588.0;;;;;;;;;;;;;;;;;;;;;;;Фин.1000/800;17.07.1963;Финляндия;78.0;11.0;1.0;1000.0;10;0;0;10;0.0;0;0.0;3.0;0.0;0.0;ВСт3сп;Сталь;8NVD-36A-IU;0.0;0.0;104.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;143345;;;;;;;;;;;;;;1088.0;537.0;1088.0;1720.0;;79.0;;11.0;3.0;;;Дизельный;;;294.0;;;;;;;;;;;;;;;;;;;;;;;ФИН.1000/800;01.01.1964;Финляндия;78.0;11.0;1.0;958.0;6;0;0;11;0.0;0;0.0;6.0;0.0;0.0;Ст3сп;Сталь, алюминий;8NVD36A-1U;0.0;0.0;120.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;143346;;;;;;;;;;;;;;1088.0;355.0;1096.0;1740.0;;79.0;;11.0;3.0;;;Дизельный;;;0.0;;;;;;;;;;;;;;;;;;;;;;;Фин.1000/800;07.07.1964;Финляндия;78.0;11.0;1.0;1000.0;10;0;0;10;0.0;0;0.0;3.0;0.0;0.0;СТ4Сгр1 ГОСТ 5521-50;Сталь;8ЧРН 24/36 (8NVD36A-1U;0.0;0.0;104.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;143348;;;;;;;;;;;;;;1088.0;353.0;1088.0;1687.0;;79.0;;11.0;3.0;;;Дизельный;;;294.0;;;;;;;;;;;;;;;;;;;;;;;ФИН.1000/800;01.01.1965;Турку,Финляндия;78.0;11.0;1.0;1000.0;6;0;0;11;0.0;0;0.0;6.0;0.0;0.0;Ст3сп;Сталь, алюминий;8NVD-36A-1U;0.0;0.0;142.5;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;143389;;;;;;;;;;;;;;740.0;0.0;1007.0;1338.0;;64.0;;12.0;3.0;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;Фин.1000;01.07.1959;Финляндия;60.0;12.0;1.0;1000.0;5;0;0;3;0.0;0;0.0;0.0;0.0;0.0;Сталь;Сталь;;0.0;0.0;27.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;143394;;;;;;;;;;;;;;1605.0;0.0;812.0;1504.0;;79.0;;11.0;4.0;;;Дизельный;;;294.1176;;;;;;;;;;;;;;;;;;;;;;;ТУ-3-100А;01.07.1960;Финляндия;77.0;11.0;2.0;700.0;6;0;0;31;0.0;0;0.0;3.0;0.0;0.0;Сталь;Ст3;8 ЧР 24/36 (8NVD-36A-IU);0.0;0.0;210.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;143396;;;;;;;;;;;;;;1350.0;0.0;889.0;1480.0;;80.0;;11.0;4.0;;;Дизельный;;;0.0;;;;;;;;;;;;;;;;;;;;;;;500/700;01.07.1960;Финляндия;77.0;11.0;2.0;700.0;6;0;0;9;0.0;0;0.0;1.0;0.0;0.0;Ст3;Ст3;8ЧРН 24/36 (8NVD-36A-IU);0.0;0.0;267.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;143398;;;;;;;;;;;;;;740.0;0.0;1007.0;1338.0;;64.0;;12.0;3.0;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;Фин.1000;01.07.1957;Финляндия;60.0;12.0;1.0;1000.0;5;0;0;0;0.0;0;0.0;0.0;0.0;0.0;Сталь;Сталь;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;143415;;;;;;;;;;;;;;740.0;0.0;705.0;1080.0;;64.0;;12.0;3.0;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;Фин.1000;01.07.1957;Финляндия;60.0;12.0;1.0;705.0;5;0;0;0;0.0;0;705.0;0.0;0.0;0.0;Сталь;Сталь;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;143433;;;;;;;;;;;;;;740.0;0.0;1007.0;1338.0;;64.0;;12.0;3.0;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;Фин.1000;01.07.1957;Финляндия;60.0;12.0;1.0;1000.0;5;0;0;0;0.0;0;0.0;0.0;0.0;0.0;Сталь;Сталь;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;143440;;;;;;;;;;;;;;740.0;0.0;1000.0;1338.0;;64.0;;12.0;3.0;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;Фин.1000;01.07.1959;Финляндия;60.0;12.0;1.0;1000.0;5;0;0;0;0.0;0;0.0;0.0;0.0;0.0;Сталь 4сп;;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;143446;;;;;;;;;;;;;;740.0;0.0;705.0;1080.0;;64.0;;12.0;3.0;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;Фин.1000;01.09.1959;Финляндия;60.0;12.0;1.0;705.0;5;0;0;3;0.0;3;705.0;0.0;0.0;0.0;Ст4сп;Ст4сп;;0.0;0.0;27.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;143447;;;;;;;;;;;;;;740.0;0.0;1000.0;1338.0;;64.0;;12.0;3.0;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;Фин.1000;01.07.1959;Финляндия;60.0;12.0;1.0;1000.0;5;0;0;0;0.0;0;0.0;0.0;0.0;0.0;Сталь;Сталь;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;143450;;;;;;;;;;;;;;740.0;0.0;1006.0;1338.0;;64.0;;12.0;3.0;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;Фин.1000;01.07.1959;Финляндия;60.0;12.0;1.0;1000.0;5;0;0;0;0.0;0;0.0;0.0;0.0;0.0;Сталь;Сталь;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;143454;;;;;;;;;;;;;;740.0;0.0;1007.0;1338.0;;64.0;;12.0;3.0;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;Фин.1000;30.06.1959;Финляндия;60.0;12.0;1.0;1000.0;5;0;0;0;0.0;0;0.0;0.0;0.0;0.0;Сталь;Сталь;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;143457;;;;;;;;;;;;;;740.0;0.0;1007.0;1338.0;;64.0;;12.0;3.0;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;Фин.1000;01.07.1959;Финляндия;60.0;12.0;1.0;1000.0;5;0;0;0;0.0;0;0.0;0.0;0.0;0.0;Сталь;Сталь;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;143458;;;;;;;;;;;;;;1175.0;0.0;573.0;778.0;;64.0;;12.0;3.0;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;Фин.1200;23.09.1959;Валко, Финляндия;60.0;12.0;2.0;0.0;6;0;0;5;54.0;0;0.0;0.0;0.0;0.0;Сталь;Сталь;;0.0;0.0;50.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;143463;;;;;;;;;;;;;;740.0;0.0;1006.0;1338.0;;64.0;;12.0;3.0;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;Фин.1000;03.06.1959;Финляндия;60.0;12.0;1.0;1000.0;5;0;0;0;0.0;0;0.0;0.0;0.0;0.0;Сталь;Сталь;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;143468;;;;;;;;;;;;;;1021.0;476.0;1360.0;2066.0;;79.0;;11.0;3.0;;;Дизельный;;;294.0;;;;;;;;;;;;;;;;;;;;;;;б/п;20.09.1960;"верфь А/О ""Раума-Репола"", Финляндия";76.0;11.0;0.0;1341.0;4;2;0;10;0.0;8;1498.0;0.0;0.0;0.0;ВМСт3сп;Ст3;R8DV-136A;0.0;0.0;98.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;143473;;;;;;;;;;;;;;1058.0;0.0;1255.0;1680.0;;64.0;;12.0;3.0;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;Фин.1000;04.10.1960;Финляндия;60.0;12.0;1.0;1250.0;5;2;0;2;0.0;11;1200.0;0.0;0.0;0.0;Сталь;Сталь;;0.0;0.0;50.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;143482;;;;;;;;;;;;;;740.0;0.0;1007.0;1338.0;;64.0;;12.0;3.0;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;Фин.1000;01.07.1959;Финляндия;60.0;12.0;1.0;1000.0;5;0;0;0;0.0;0;0.0;0.0;0.0;0.0;Сталь;Сталь;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;143483;;;;;;;;;;;;;;993.0;0.0;985.0;1638.0;;79.0;;11.0;3.0;;;Дизельный;;;0.0;;;;;;;;;;;;;;;;;;;;;;;ТУ-3-100А;06.11.1960;Финляндия;77.0;11.0;1.0;925.0;7;0;0;16;0.0;0;0.0;6.0;0.0;0.0;Ст3;Ст3;8190ZLC-2, 8190ZLC-2R  (8ЧН19/21);0.0;0.0;244.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;143485;;;;;;;;;;;;;;1072.0;407.0;1071.0;1636.0;;80.0;;11.0;3.0;;;Дизельный;;;294.0;;;;;;;;;;;;;;;;;;;;;;;ФИН.1000/800;03.06.1961;Финляндия;78.0;11.0;1.0;969.0;7;0;0;10;0.0;0;0.0;6.0;0.0;0.0;Ст4ЛСП,РСВ;Ст4ЛСП;8NVD-36A-1U;0.0;0.0;122.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;143489;;;;;;;;;;;;;;1072.0;407.0;1202.0;1783.0;;80.0;;11.0;3.0;;;Дизельный;;;425.0;;;;;;;;;;;;;;;;;;;;;;;Фин.1000/800;20.05.1963;Финляндия;78.0;11.0;1.0;1100.0;7;0;0;9;0.0;0;74.0;3.0;0.0;0.0;сталь;сталь;8NVD-36А-IU;0.0;0.0;124.8;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;143490;;;;;;;;;;;;;;1102.0;353.0;1051.0;1632.0;;80.0;;11.0;3.0;;;Дизельный;;;294.0;;;;;;;;;;;;;;;;;;;;;;;Фин.1000/800;28.10.1963;Финляндия;78.0;11.0;1.0;1000.0;5;0;0;9;0.0;0;0.0;0.0;0.0;0.0;Ст3сп ГОСТ 5521-50;Сталь;8NVD36А-1U;0.0;0.0;130.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;143497;;;;;;;;;;;;;;1072.0;353.0;1202.0;1787.0;;80.0;;11.0;3.0;;;Дизельный;;;425.0;;;;;;;;;;;;;;;;;;;;;;;Фин.1000/800;20.05.1965;Финляндия;78.0;11.0;1.0;1100.0;6;0;0;9;0.0;0;0.0;0.0;0.0;0.0;Ст3;Сталь АМГ;8NVD36А-1U;0.0;0.0;165.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;143592;;;;;;;;;;;;;;1829.0;0.0;2072.0;2740.0;;93.0;;13.0;4.0;;;Дизельный;;;368.0;;;;;;;;;;;;;;;;;;;;;;;576;19.12.1960;г.Галац, Румыния;90.0;13.0;2.0;2000.0;7;0;0;9;0.0;0;0.0;0.0;0.0;0.0;Сталь3с;Сталь;6NVD-48;0.0;0.0;92.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;143594;;;;;;;;;;;;;;1825.0;0.0;2072.0;2740.0;;93.0;;13.0;4.0;;;Дизельный;;;368.0;;;;;;;;;;;;;;;;;;;;;;;576;30.12.1960;Румыния;90.0;13.0;2.0;2000.0;8;0;0;9;0.0;0;0.0;0.0;0.0;0.0;Ст.3 II гр;Ст.3 II гр;6NVD-48U;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;143630;;;;;;;;;;;;;;1825.0;0.0;2104.0;2771.0;;93.0;;13.0;4.0;;;;;;368.0;;;;;;;;;;;;;;;;;;;;;;;576;30.09.1962;Румыния;90.0;13.0;2.0;2000.0;7;0;0;9;0.0;0;0.0;0.0;0.0;0.0;Ст.3 ГОСТ 5521-50;Ст.3 ГОСТ 5521-50;6ЧР 32/48 (6NVD-48U);0.0;0.0;81.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;143632;;;;;;;;;;;;;;1825.0;624.0;2129.0;2971.0;;93.0;;13.0;4.0;;;Дизельный;;;368.0;;;;;;;;;;;;;;;;;;;;;;;576;25.12.1962;Румыния;90.0;13.0;2.0;2000.0;7;0;0;9;0.0;0;0.0;0.0;0.0;0.0;Ст3с;Ст3;6NVD-48;0.0;0.0;84.5;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;143635;;;;;;;;;;;;;;2077.0;0.0;2055.0;2740.0;;93.0;;13.0;4.0;;;Дизельный;;;368.0;;;;;;;;;;;;;;;;;;;;;;;576;01.07.1963;Румыния;90.0;13.0;2.0;2000.0;8;0;0;10;0.0;0;0.0;0.0;0.0;0.0;Ст3;Ст3сп2;6 NVD-48;0.0;0.0;78.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;143636;;;;;;;;;;;;;;1825.0;1099.0;2066.0;2740.0;;93.0;;13.0;4.0;;;Дизельный;;;368.0;;;;;;;;;;;;;;;;;;;;;;;576;05.08.1962;Румыния;90.0;13.0;1.0;2000.0;7;0;0;10;0.0;0;0.0;0.0;0.0;0.0;Ст.3с;Ст.3;6ЧР 32/48 (6NVD-48U);0.0;0.0;79.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;143637;;;;;;;;;;;;;;2077.0;0.0;2129.0;2803.0;;93.0;;13.0;4.0;;;Дизельный;;;368.0;;;;;;;;;;;;;;;;;;;;;;;576;20.10.1962;Румыния;90.0;13.0;1.0;2000.0;7;0;0;9;0.0;0;0.0;0.0;0.0;0.0;Ст3С;Ст3;6NVD-48U;0.0;0.0;56.5;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;143640;;;;;;;;;;;;;;1825.0;0.0;2072.0;2740.0;;93.0;;13.0;4.0;;;Дизельный;;;368.0;;;;;;;;;;;;;;;;;;;;;;;576;05.06.1963;Румыния;90.0;13.0;2.0;2000.0;7;0;0;9;0.0;0;0.0;0.0;0.0;0.0;Ст3сп II гр;Ст3сп II гр;6NVD-48;0.0;0.0;87.5;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;143641;;;;;;;;;;;;;;1256.0;0.0;1462.0;2150.0;;73.0;;13.0;4.0;;;Дизельный;;;0.0;;;;;;;;;;;;;;;;;;;;;;;576;01.07.1963;Румыния;73.0;13.0;2.0;1300.0;7;0;0;13;0.0;0;0.0;6.0;0.0;0.0;Ст3;Ст3;6NVD-48-2U;0.0;0.0;154.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;143650;;;;;;;;;;;;;;1850.0;0.0;2129.0;2796.0;;93.0;;13.0;4.0;;;Дизельный;;;368.0;;;;;;;;;;;;;;;;;;;;;;;576;30.06.1965;Румыния;90.0;13.0;2.0;2000.0;7;0;0;8;0.0;0;114.0;0.0;0.0;0.0;Сталь;Сталь;6NVD-48U;0.0;0.0;100.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;143659;;;;;;;;;;;;;;839.0;0.0;0.0;270.0;;75.0;;15.0;1.0;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;276-III и 476-1(1 вариант);27.03.1959;Румыния, г.Браила;74.0;15.0;1.0;0.0;7;2;0;2;0.0;0;0.0;0.0;0.0;0.0;Ст4с,Ст3с;Сталь;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;143670;;;;;;;;;;;;;;1825.0;600.0;2073.0;2740.0;;93.0;;13.0;4.0;;;Дизельный;;;294.0;;;;;;;;;;;;;;;;;;;;;;;576;31.07.1963;Румыния;90.0;13.0;2.0;2000.0;7;0;0;10;0.0;0;0.0;0.0;0.0;0.0;Сталь3с;Сталь;6NVD48-2U;0.0;0.0;64.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;143673;;;;;;;;;;;;;;1850.0;0.0;2072.0;2740.0;;93.0;;13.0;4.0;;;Дизельный;;;368.0;;;;;;;;;;;;;;;;;;;;;;;576;01.07.1964;Румыния;90.0;13.0;2.0;2000.0;8;0;0;10;0.0;0;0.0;0.0;0.0;0.0;сталь;сталь;6NVD-48-U;0.0;0.0;79.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;143677;;;;;;;;;;;;;;2135.0;0.0;2129.0;2796.0;;93.0;;13.0;4.0;;;Дизельный;;;368.0;;;;;;;;;;;;;;;;;;;;;;;576;30.09.1964;Румыния;90.0;13.0;2.0;2000.0;8;0;0;10;0.0;0;0.0;0.0;0.0;0.0;Сталь3с;Сталь;6NVD-48;0.0;0.0;69.2;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;143679;;;;;;;;;;;;;;1850.0;0.0;2129.0;2796.0;;93.0;;13.0;4.0;;;Дизельный;;;368.0;;;;;;;;;;;;;;;;;;;;;;;576;31.03.1965;Румыния;90.0;13.0;2.0;2000.0;7;0;0;8;0.0;0;0.0;0.0;0.0;0.0;Сталь3сп;Сталь;6NVD-48U;0.0;0.0;120.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;143680;;;;;;;;;;;;;;1850.0;0.0;2129.0;2796.0;;93.0;;13.0;4.0;;;Дизельный;;;368.0;;;;;;;;;;;;;;;;;;;;;;;576;24.05.1965;Румыния;90.0;13.0;2.0;2000.0;7;0;0;8;0.0;0;0.0;0.0;0.0;0.0;Сталь;Сталь;6NVD-48U;0.0;0.0;100.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;143681;;;;;;;;;;;;;;1850.0;0.0;2129.0;2796.0;;93.0;;13.0;4.0;;;Дизельный;;;368.0;;;;;;;;;;;;;;;;;;;;;;;576;21.08.1965;Румыния;90.0;13.0;2.0;2000.0;7;0;0;8;0.0;0;0.0;0.0;0.0;0.0;Сталь3сп;Сталь;6NVD-48U;0.0;0.0;120.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;143686;;;;;;;;;;;;;;1850.0;0.0;2055.0;2740.0;;93.0;;13.0;4.0;;;Дизельный;;;368.0;;;;;;;;;;;;;;;;;;;;;;;576;30.04.1966;Судостроительный завод Олтеница, Румыния;90.0;13.0;2.0;2000.0;7;1;0;8;0.0;0;0.0;0.0;0.0;0.0;Сталь3сп;Сталь;6NVD-48AU;0.0;0.0;120.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;143689;;;;;;;;;;;;;;1682.0;0.0;2072.0;2740.0;;93.0;;13.0;4.0;;;Дизельный;;;368.0;;;;;;;;;;;;;;;;;;;;;;;576;30.07.1966;Румыния;90.0;13.0;2.0;2000.0;8;0;0;10;0.0;0;0.0;0.0;0.0;0.0;Ст3сп;Ст3сп;6NVD-48U;0.0;0.0;81.5;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;143690;;;;;;;;;;;;;;1850.0;0.0;2072.0;2740.0;;93.0;;13.0;4.0;;;Дизельный;;;368.0;;;;;;;;;;;;;;;;;;;;;;;576;30.08.1966;Румыния;90.0;13.0;2.0;2000.0;8;0;0;9;0.0;0;0.0;0.0;0.0;0.0;ВСт3сп;ВСт3;6ЧР 32/48 (6NVD-48U);0.0;0.0;95.5;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
