vessel_name;Регистровый номер;Номер ИМО;Бывшее название;Позывной;Порт приписки;Флаг;Символ класса;Переоборудование/модернизация существенного характера;Основной тип;Дата постройки;Страна постройки;Строительный номер;Дата значительной части;Значительная часть;Валовая вместимость;Чистая вместимость;Дедвейт;Водоизмещение;Длина наибольшая (теоретическая);Длина габаритная;Длина расчетная;Ширина габаритная;Высота борта;Осадка;Скорость;Тип силовой установки;Главные двигатели;Количество лопастей;Общая мощность генераторов;Главные котлы;Холодильная установка;Рабочая температура;Хладагенты;Радио-навигационное оборудование;Охлаждаемые грузовые помещения;Наливные танки;Количество палуб;Количество переборок;Число пассажиров коечные;Число пассажиров бескоечных;Спецперсонал;Грузовые люки (число и размер в свету);Стрелы;Краны;Запасы топлива;Типы топлива;Водяной балласт;Подогреватели;Характеристика снабжения;Категория якорных цепей;Калибр якорных цепей;Проект судна;Дата постройки (первое освидетельствование);Место постройки;Длина конструктивная;Ширина конструктивная;Высота надводного борта;Грузоподъемность;Количество поперечных переборок;Количество продольных переборок;Пассажировместимость;Экипаж;Орг. группа;Количество наливных танков;Суммарный объем наливных танков;Грузоподъемность первой стрелы;Грузоподъемность второй стрелы;Грузоподъемность третьей стрелы;Материал корпуса;Материал надстройки;Марка главной силовой установки;ГЭД, всего;ГЭД, кВт всех;ГЭС, кВт всех;Завод постройки;Город постройки;Завод достройки;Город достройки;Заложено;Спущено на воду;Построено;Владелец;Оператор;Регистрация;Бортовой номер;MMSI;Текущее состояние;Примечания;Количество движителей;Тип движителей;Количество ГЭД;Общая мощность ГЭД;Количество грузовых трюмов;Кубатура грузовых трюмов;Количество контейнеров;Тип контейнеров;Источник
;92180;;;;;;;;;;;;;;86.0;0.0;24.0;144.0;;22.0;;7.0;2.0;;;Дизельный;;;224.0;;;;;;;;;;;;;;;;;;;;;;;1587/00-250.08.001;06.11.1968;г. Красноярск;22.0;7.0;1.0;0.0;5;0;0;6;0.0;0;0.0;0.0;0.0;0.0;Ст.3;Ст.3;6ЧР 24/36 (6NVD36-IU);0.0;0.0;42.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;92186;;;;;;;;;;;;;;148.0;0.0;72.0;144.0;;31.0;;10.0;1.0;;;Дизельный;;;110.0;;;;;;;;;;;;;;;;;;;;;;;774;26.10.1969;Чистополь;31.0;8.0;0.0;60.0;4;0;77;2;0.0;0;0.0;0.0;0.0;0.0;ВМСт3;Дерево;3Д6;0.0;0.0;1.5;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;92188;;;;;;;;;;;;;;148.0;0.0;72.0;144.0;;31.0;;10.0;1.0;;;Дизельный;;;66.0;;;;;;;;;;;;;;;;;;;;;;;774/703;01.07.1969;Чистополь, Чистопольский ССРЗ;31.0;8.0;0.0;60.0;4;0;0;3;0.0;0;0.0;0.0;0.0;0.0;Вст3сп4;Вст4сп4;TD226B-6C;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;92209;;;;;;;;;;;;;;170.0;0.0;72.0;144.0;;31.0;;10.0;1.0;;;Дизельный;;;66.0;;;;;;;;;;;;;;;;;;;;;;;774;01.07.1970;Чистополь,Чистопольский ССРЗ;31.0;8.0;0.0;60.0;4;0;0;14;0.0;0;0.0;0.0;0.0;0.0;Сталь;Сталь;6ЧСП 12/14;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;92215;;;;;;;;;;;;;;148.0;0.0;72.0;144.0;;31.0;;10.0;1.0;;;Дизельный;;;110.0;;;;;;;;;;;;;;;;;;;;;;;774;01.07.1971;Чистополь, Чистопольский СРЗ;31.0;8.0;0.0;60.0;4;0;12;2;0.0;0;0.0;0.0;0.0;0.0;ВМСт.3;Дерево;3Д6;0.0;0.0;11.2;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;92219;;;;;;;;;;;;;;148.0;0.0;68.0;140.0;;31.0;;10.0;1.0;;;Дизельный;;;66.0;;;;;;;;;;;;;;;;;;;;;;;774;03.12.1971;г. Чистополь;31.0;8.0;0.0;60.0;4;0;35;3;0.0;0;0.0;0.0;0.0;0.0;Ст.3;Ст.3;ЯМЗ-238 ГМ;0.0;0.0;18.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;92220;;;;;;;;;;;;;;187.0;0.0;27.0;234.0;;30.0;;8.0;3.0;;;Дизельный;;;272.0;;;;;;;;;;;;;;;;;;;;;;;Р-47;20.06.1972;Чистополь;27.0;7.0;1.0;0.0;6;0;0;4;0.0;0;0.0;0.0;0.0;0.0;сталь 10Г2С1Д;ВСт.3сп4;"B6190 ZLCZA-2 (6ЧН 19/21); B6190 ZLCZA-2R  (6ЧН 19/21);";0.0;0.0;125.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;92224;;;;;;;;;;;;;;129.0;0.0;61.0;140.0;;31.0;;10.0;1.0;;;Дизельный;;;110.0;;;;;;;;;;;;;;;;;;;;;;;774;29.09.1972;Чистопольский СРЗ, Чистополь;31.0;8.0;0.0;60.0;4;0;77;0;0.0;0;0.0;0.0;0.0;0.0;ВМСт3сп;Сталь;ЯМЗ-238М2;0.0;0.0;0.8;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;92228;;;;;;;;;;;;;;590.0;0.0;66.0;422.0;;52.0;;9.0;2.0;;;Дизельный;;;166.0;;;;;;;;;;;;;;;;;;;;;;;Р-102;19.09.1979;Заозерская РЭБ, г.Пермь;50.0;9.0;1.0;0.0;7;0;250;20;0.0;0;0.0;0.0;0.0;0.0;ВСт.3сп2;ВСт.3сп2;WD10C218-15;2.0;100.0;150.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;92330;;;;;;;;;;;;;;32.0;0.0;33.0;31.0;;21.0;;3.0;2.0;;;Дизельный;;;110.0;;;;;;;;;;;;;;;;;;;;;;;РВН-376;01.07.1972;Сосновка;19.0;3.0;0.0;0.0;6;0;6;4;0.0;0;0.0;0.0;0.0;0.0;Ст3сп2;Ст3сп2;ЯМЗ-238М2;0.0;0.0;8.2;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
